target,horizon,model,mae,rmse,mape
sales,15min,naive,8.542501739037151,19.677742640298977,120.48680455363345
sales,15min,moving_average_4,7.554988585344522,16.347191834671982,121.69579664446732
sales,15min,linear_regression,7.944516658782959,15.713193893432617,175.91601782228665
sales,15min,random_forest,7.348340452934586,15.381574478939072,142.7801833691529
sales,15min,gradient_boosting,7.249063015814366,15.033066107988986,149.2550954021279
sales,15min,xgboost,7.378342628479004,15.07132625579834,159.18184743654038
sales,15min,sarima,,,
sales,15min,prophet,,,
redemption,15min,naive,9.838089013170743,21.119460741012986,130.59213125244105
redemption,15min,moving_average_4,8.147790646225403,17.186291627320287,113.30613779448828
redemption,15min,linear_regression,8.24122142791748,16.524627685546875,150.52509035135253
redemption,15min,random_forest,7.189380015589451,15.568461510236213,108.23816869915885
redemption,15min,gradient_boosting,7.493665371165535,15.655739837713586,123.0825471585616
redemption,15min,xgboost,7.192145824432373,15.378849983215332,114.57295804545893
redemption,15min,sarima,,,
redemption,15min,prophet,,,
sales,30min,naive,8.951385760167868,20.15582025217287,136.55689990535672
sales,30min,moving_average_4,8.096604865530521,17.200787011215112,131.13179012590516
sales,30min,linear_regression,8.673593521118164,16.452054977416992,201.0924400573431
sales,30min,random_forest,7.611854486950375,15.678185246926946,152.16552314602433
sales,30min,gradient_boosting,7.580124696874705,15.270843692307851,162.20969559190834
sales,30min,xgboost,7.625829219818115,15.32109546661377,167.90207310173096
sales,30min,sarima,,,
sales,30min,prophet,,,
redemption,30min,naive,10.04388112920748,21.64634645329019,122.76563516897265
redemption,30min,moving_average_4,8.67460848551973,18.073372503339066,120.47745547536717
redemption,30min,linear_regression,8.961427688598633,17.290699005126953,172.82739316296934
redemption,30min,random_forest,7.425419339079474,15.832879905266857,114.17287540844205
redemption,30min,gradient_boosting,7.7467866730623225,15.87586996033726,131.99154051456276
redemption,30min,xgboost,7.395208835601807,15.671560287475586,112.38083600795001
redemption,30min,sarima,,,
redemption,30min,prophet,,,
sales,1hr,naive,9.472123224812588,20.962004346972172,142.55157888062462
sales,1hr,moving_average_4,9.28778999902997,19.115920033786793,148.2382204469647
sales,1hr,linear_regression,10.213876724243164,18.214656829833984,254.59319266168475
sales,1hr,random_forest,7.879618369659527,16.03892922252173,159.49275883285821
sales,1hr,gradient_boosting,8.00711052375904,15.800990092272288,174.29528753873564
sales,1hr,xgboost,7.812544822692871,15.489862442016602,180.25348309431442
sales,1hr,sarima,,,
sales,1hr,prophet,,,
redemption,1hr,naive,9.823671360507664,21.474135842297414,122.6101981090072
redemption,1hr,moving_average_4,9.879731018427924,20.051276841960384,140.6915040562254
redemption,1hr,linear_regression,10.33796501159668,18.829898834228516,225.7842118064054
redemption,1hr,random_forest,7.73780459884696,16.035983205544756,124.44897061863058
redemption,1hr,gradient_boosting,8.094338647573013,16.1686204342357,142.18226809127123
redemption,1hr,xgboost,7.548426628112793,15.6599760055542,123.94231012361061
redemption,1hr,sarima,,,
redemption,1hr,prophet,,,
sales,2hr,naive,11.594190386630379,24.449202195053715,175.1178693737958
sales,2hr,moving_average_4,11.760483465105409,23.459764826024166,188.18476352311737
sales,2hr,linear_regression,13.568437576293945,21.454259872436523,401.9799023499587
sales,2hr,random_forest,8.493902776380171,16.726481957846488,181.29012347320915
sales,2hr,gradient_boosting,9.112782107298495,17.124126006725934,200.87334183402118
sales,2hr,xgboost,8.708918571472168,16.542560577392578,217.0127483212517
sales,2hr,sarima,,,
sales,2hr,prophet,,,
redemption,2hr,naive,11.766905762328772,24.999168411520333,150.4025821041458
redemption,2hr,moving_average_4,12.336825179639677,24.485927545528728,183.90189089974197
redemption,2hr,linear_regression,13.38904094696045,21.835763931274414,373.2670585083411
redemption,2hr,random_forest,8.411573035420865,16.84468869672386,152.36771215922153
redemption,2hr,gradient_boosting,9.486724939572648,17.583171253165364,189.4745554149295
redemption,2hr,xgboost,8.237020492553711,16.573219299316406,152.19317651296134
redemption,2hr,sarima,,,
redemption,2hr,prophet,,,
